Epoch,Phase,Loss,Accuracy,Mean F1-score,Weighted F1-score
26,test,0.30230041458958484,0.8688524590163934,0.8721455526493089,0.866620641825967
27,train,0.16826295179174555,0.9244295887225694,0.930597221209956,0.9244765259215442
27,val,0.294544324340662,0.8599585062240664,0.8675023983917589,0.8583551321389156
27,test,0.2791629546001309,0.8744877049180327,0.879251170709462,0.8732162782326118
28,train,0.15885794039313797,0.9277721261444557,0.9336593479874645,0.9277901177041666
28,val,0.29005844736494957,0.8775933609958506,0.8840933094234185,0.8770345875744533
28,test,0.28633202978822053,0.8729508196721312,0.878053407183212,0.8724968030079702
29,train,0.15315207173321554,0.9277721261444557,0.9336453572807052,0.9277908704462925
29,val,0.2904752539895877,0.8796680497925311,0.8863947233412033,0.8794395796004985
29,test,0.28477619319665626,0.8698770491803278,0.8757541780346095,0.869825160719191
30,train,0.15319540512854582,0.9296613864263915,0.935372157118076,0.9296917066267012
30,val,0.302393000650208,0.8807053941908713,0.8865753433174642,0.880174630062232
30,test,0.3013337489034309,0.867827868852459,0.8727655182371843,0.8671626437437755
31,train,0.15150480379269682,0.9280627815724458,0.9338252783090102,0.9280598408069373
31,val,0.3085401976998911,0.8734439834024896,0.8809069803202106,0.8731852923787189
31,test,0.2996234830285682,0.8744877049180327,0.8799406178855611,0.8741869546970406
32,train,0.14540996134731593,0.9341665455602384,0.9395456361072319,0.9342046020344337
32,val,0.2974432987543557,0.8796680497925311,0.886014392814309,0.8793253955179716
32,test,0.30807400433743587,0.8647540983606558,0.8702449453221499,0.8643017357193805
33,train,0.14533110280410094,0.9347478564162186,0.9400755070284234,0.9347845603579565
33,val,0.3065897258485501,0.8744813278008299,0.8815246305842578,0.8740886767936075
33,test,0.29868447878321663,0.8709016393442623,0.8765962311533333,0.8706476225210668
34,train,0.14822837585211665,0.9303880249963669,0.9360360379530454,0.9304405486556769
34,val,0.30985445365371544,0.8807053941908713,0.8870273846853655,0.8804771166735482
34,test,0.2947288482892709,0.875,0.8800745688176823,0.8747868119991598
35,train,0.14100503648216164,0.9367824444121494,0.9419486283094273,0.9368114655440565
35,val,0.3011191682696837,0.8869294605809128,0.8933290327413003,0.8867134162913722
35,test,0.29655265612680404,0.8734631147540983,0.8787809457847141,0.8731441566754624
36,train,0.13596071348692196,0.9396889986920506,0.9446087017597247,0.9397234781761765
36,val,0.3178107708816212,0.8786307053941909,0.8850968481691786,0.8782345220383146
36,test,0.31265394707195093,0.8683401639344263,0.8734301296031651,0.8678442147900304
37,train,0.1479594964734899,0.9325679407062927,0.9380404011757012,0.9325962772047611
37,val,0.31919105023269334,0.8817427385892116,0.8878382565032024,0.8811425404137185
37,test,0.3206440083316115,0.8709016393442623,0.8758855856036657,0.8702485541462502
38,train,0.1350166983604691,0.9391076878360703,0.944068609870125,0.939121711726505
38,val,0.3207004320077382,0.8744813278008299,0.8813598380704374,0.8737247253248501
38,test,0.2966675294227287,0.8703893442622951,0.8759552803244219,0.8698039152061242
39,train,0.13670857328433766,0.935619822700189,0.940784113741658,0.9356388794246576
39,val,0.3152153313901909,0.8734439834024896,0.8809130690847813,0.8731338851951361
39,test,0.3093520730245309,0.8688524590163934,0.8747610892763558,0.8687041781790431
40,train,0.1387298122111179,0.9347478564162186,0.9400843198615719,0.9347979714571236
40,val,0.316953488776298,0.8786307053941909,0.8857422958067372,0.8783168263617678
40,test,0.3052398850683306,0.8734631147540983,0.879138854243126,0.8732565885365949
41,train,0.1310520667402468,0.9420142421159715,0.9467690768847856,0.9420369007501862
41,val,0.31543332969004684,0.8765560165975104,0.8836460498241385,0.8763060845406457
41,test,0.31732155651342675,0.875,0.8804013568100695,0.8747843419407915
42,train,0.1311766428537553,0.938381049266095,0.9434379195535527,0.9384192333054261
42,val,0.32452028371486424,0.8692946058091287,0.8768703789912106,0.8688242580785905
42,test,0.31823936349055804,0.8709016393442623,0.8765034155166905,0.8706516350528084
43,train,0.12113059664115607,0.9476820229617788,0.9519328059954949,0.9476978162311327
43,val,0.31929988930334197,0.8796680497925311,0.8863852483939729,0.8790959578607308
43,test,0.3129683991924661,0.8673155737704918,0.873179708782294,0.8670120862299794
44,train,0.12355361031274985,0.9482633338177591,0.9524560594704686,0.9482943696455697
44,val,0.3401396807545943,0.8724066390041494,0.8797863670269184,0.8721256813888328
44,test,0.3375682352019138,0.8688524590163934,0.8745859100726854,0.8686084289297809
45,train,0.12459983747702078,0.9469553843918035,0.9512716762576641,0.9469740548634902
45,val,0.3280969145881685,0.8724066390041494,0.8795550351229526,0.8717578753099259
45,test,0.3231212330646202,0.8729508196721312,0.8785749230607172,0.8727858682536345
46,train,0.12613216878638123,0.9399796541200407,0.9449038943244915,0.9400150072837912
46,val,0.3420271884603619,0.8692946058091287,0.8766741605842894,0.8687449642289821
46,test,0.32858381212734783,0.8683401639344263,0.8741363597921671,0.8679139361999018
47,train,0.1251114447126207,0.9441941578258974,0.9486935272611458,0.9442153959429613
47,val,0.3358667471844131,0.8692946058091287,0.8770336549758285,0.8688991987224312
47,test,0.32478836227635866,0.8801229508196722,0.8852224511295411,0.8799386634392586
48,train,0.12106328797260701,0.9433221915419271,0.947927326843742,0.9433424550140648
48,val,0.33808028079662084,0.8724066390041494,0.8797938982387457,0.8720164608398226
48,test,0.3336673261689358,0.8662909836065574,0.8722948748817465,0.866201271840184
49,train,0.11681218720001288,0.9469553843918035,0.9512453732289401,0.9469785183738345
49,val,0.34288377583768853,0.8724066390041494,0.8797068060139008,0.8721850813927068
49,test,0.3282490939390464,0.8693647540983607,0.8750858703440827,0.8692317705917708
50,train,0.11663750940336944,0.9468100566778085,0.9511548173539021,0.9468326571361108
50,val,0.3386872728583229,0.8775933609958506,0.8847635294703935,0.8772214865867818
50,test,0.3303821653616233,0.867827868852459,0.8736275202525464,0.8675832485612053
51,train,0.10744957983615076,0.9520418543816306,0.9559931981492141,0.9520601756701228
51,val,0.35527419116487147,0.8713692946058091,0.8786653763138181,0.8711222174629002
51,test,0.3423701407479458,0.867827868852459,0.8736072388119751,0.8676947892195419
52,train,0.1102060497190401,0.9508792326696701,0.9548475699887954,0.9508928771596407
52,val,0.3393631216401381,0.8775933609958506,0.8847267185469556,0.8773776776705746
52,test,0.34931892742876147,0.8744877049180327,0.879863684679848,0.8743434557608258
53,train,0.10764069082760877,0.9542217700915565,0.9579855657806403,0.9542418742918964
53,val,0.3620356059173331,0.8713692946058091,0.8787816174928033,0.8709131299158841
53,test,0.35895956735141943,0.8724385245901639,0.878126698277366,0.8723187686588029
54,train,0.1058186241205635,0.9534951315215812,0.9573104097206183,0.9535148226818357
54,val,0.35053019132851565,0.8765560165975104,0.8837706712447732,0.8763360070049963
54,test,0.3513022885947931,0.8709016393442623,0.8765009049254692,0.8707763617382203
55,train,0.10760708159961044,0.9542217700915565,0.9579703286541236,0.9542458716065141
55,val,0.34927241460910974,0.8807053941908713,0.8875087430838924,0.8804842801796983
55,test,0.3441347831585368,0.8693647540983607,0.8750537107992467,0.8692388030743858
56,train,0.10034801422263315,0.9558203749455021,0.959393734212842,0.9558398877452385
56,val,0.3623163245030953,0.8682572614107884,0.8758056048573479,0.8680231309160873
56,test,0.35738905238323526,0.8688524590163934,0.8744974197507085,0.8686946086015189
57,train,0.1011431571542827,0.955384391803517,0.9590415806185417,0.9554028769236436
57,val,0.37499471855856076,0.8661825726141079,0.8738845882968558,0.8652775849489021
57,test,0.36116560756183064,0.867827868852459,0.8737469793669972,0.8674779448785018
58,train,0.10040592397888669,0.9550937363755269,0.9588104414570457,0.9551135018885852
58,val,0.3787324204731779,0.8682572614107884,0.8755439180811855,0.8677967355003399
58,test,0.3531417455829558,0.8703893442622951,0.8751711130675984,0.869664662079789
59,train,0.10590472044968671,0.9536404592355763,0.9574303582701565,0.9536565125709258
59,val,0.3688346174742671,0.8672199170124482,0.8749268209180358,0.8664475798129349
59,test,0.3507917552697854,0.8755122950819673,0.880982201865544,0.8753741997613746
60,train,0.10004880767201393,0.9582909460834181,0.9616024058582795,0.9582911032145615
60,val,0.3824170469248443,0.8713692946058091,0.8789633012140486,0.8711241873141173
60,test,0.3788686951652902,0.8698770491803278,0.8756727168885916,0.8698189223747255
61,train,0.09929628958233981,0.9577096352274379,0.9611970215215486,0.9577327060568236
61,val,0.38732562532563425,0.8734439834024896,0.8806875570811675,0.8732245618868114
61,test,0.3640803294103654,0.8734631147540983,0.8786651633776181,0.8731325119545642
62,train,0.10135634217826524,0.9546577532335416,0.9582799151436632,0.9546782072655302
62,val,0.37578651321379475,0.8713692946058091,0.8788176726986918,0.8711262309678982
62,test,0.35965475391169066,0.8734631147540983,0.8787930302738675,0.8732841198829074
63,train,0.09542309473011663,0.9566923412294724,0.9602132044009182,0.9567214605180631
63,val,0.393736915098681,0.8724066390041494,0.879786840492765,0.872097212677111
63,test,0.36481662070164916,0.8744877049180327,0.8799037541867165,0.8743636294107496
64,train,0.09368959678854816,0.9610521726493242,0.9641987528182675,0.9610791844018464
64,val,0.3914632297650412,0.8775933609958506,0.884777532866217,0.8773204473067481
64,test,0.3766057784440088,0.8765368852459017,0.8820182222277589,0.8764734929785268
65,train,0.09259903433862215,0.9613428280773143,0.9644881878870265,0.9613622563338915
