Dataset,Pretext Dataset,Phase,Loss,Accuracy,F1 Score,Weighted F1 Score,Best Epoch
realworld,thigh_kuhar_k_28_lr_0.0005_bs_64.pkl_result,test,1.1390619366063701,0.6710465652374366,0.6662751705837494,0.6679642499866661,125
wisdm,wisdm_k_28_lr_0.0005_bs_64.pkl_result,train,0.14297431433801164,0.9369525170119177,0.9369358207993177,0.9369460550128799,91
wisdm,wisdm_k_28_lr_0.0005_bs_64.pkl_result,val,1.0352786133773144,0.790462930734424,0.7888278059657641,0.7888884611395504,91
wisdm,wisdm_k_28_lr_0.0005_bs_64.pkl_result,test,0.9223646939494152,0.8040207358705272,0.8010448408855563,0.8010696749162786,91
wisdm,realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,train,0.10018327213380385,0.9599233053874205,0.9599121627874994,0.9599196759832971,117
wisdm,realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,val,1.3077319594177268,0.6978767838496345,0.697166949789805,0.6972373335057521,117
wisdm,realworld_waist_k_28_lr_0.0005_bs_64.pkl_result,test,1.7477599961038093,0.7155139714249589,0.7073049560696132,0.7073451261852703,117
uci,realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,train,0.3122518992046339,0.8212469117860776,0.8343782407591769,0.8210531441576001,138
uci,realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,val,0.4127245016117808,0.7966804979253111,0.8063785048766903,0.7951242773838331,138
uci,realworld_thigh_k_28_lr_0.0005_bs_64.pkl_result,test,0.4480911063366249,0.7786885245901639,0.786229785068264,0.7782521000534701,138
kuhar,motionsense_k_28_lr_0.0005_bs_64.pkl_result,train,0.28997370342475565,0.8604206500956023,0.9239073354570236,0.8603167912823155,107
kuhar,motionsense_k_28_lr_0.0005_bs_64.pkl_result,val,3.6482683472241195,0.4987807581467524,0.5360580831535376,0.5107223042550447,107
kuhar,motionsense_k_28_lr_0.0005_bs_64.pkl_result,test,0.6161906323748375,0.7502396931927133,0.7662222879733723,0.7518146056958458,107
realworld,waist_uci_k_28_lr_0.0005_bs_64.pkl_result,train,0.1464815019289474,0.943917825412029,0.9450571424452373,0.9442423791196465,76
realworld,waist_uci_k_28_lr_0.0005_bs_64.pkl_result,val,1.2192592636764152,0.7416365635307052,0.7447325223068754,0.745924764537018,76
realworld,waist_uci_k_28_lr_0.0005_bs_64.pkl_result,test,0.9217376747251876,0.772760736196319,0.748573930624369,0.766494099162094,76
