Dataset,Pretext Dataset,Phase,Loss,Accuracy,F1 Score,Weighted F1 Score,Best Epoch
kuhar,realworld_thigh_k_28_lr_0.0005_bs_64.pkl,test,0.320739498303012,0.9391179290508149,0.9049710043480999,0.9397486008357058,92
kuhar,kuhar_k_28_lr_0.0005_bs_64.pkl,train,0.03764746841494977,0.9882258226829023,0.9927200392308527,0.9882273414171046,135
kuhar,kuhar_k_28_lr_0.0005_bs_64.pkl,val,2.6205825799701614,0.6102859676346708,0.6609898908364722,0.6348223455956836,135
kuhar,kuhar_k_28_lr_0.0005_bs_64.pkl,test,0.31385514077267046,0.9429530201342282,0.904208470042748,0.9431523878514773,135
realworld,waist_realworld_thigh_k_28_lr_0.0005_bs_64.pkl,train,0.16063009932133734,0.9471215774350167,0.9478648312632522,0.9474737178651856,20
realworld,waist_realworld_thigh_k_28_lr_0.0005_bs_64.pkl,val,0.5867418476164069,0.8435683995602324,0.8476740301816479,0.8459495907190913,20
realworld,waist_realworld_thigh_k_28_lr_0.0005_bs_64.pkl,test,0.6366893230826577,0.8419631901840491,0.8386828597168058,0.8425451060776233,20
motionsense,uci_k_28_lr_0.0005_bs_64.pkl,train,0.003591302807806063,0.9988159042752087,0.9986972546592514,0.9988159316343092,123
motionsense,uci_k_28_lr_0.0005_bs_64.pkl,val,0.237212435901165,0.9505376344086022,0.9348612647923447,0.950031387152869,123
motionsense,uci_k_28_lr_0.0005_bs_64.pkl,test,0.24795819680296374,0.9623564440663548,0.9507471465145012,0.9621795498442063,123
kuhar,wisdm_k_28_lr_0.0005_bs_64.pkl,train,0.061763382696092904,0.9813827110798028,0.9889988102414033,0.9813840719439048,21
kuhar,wisdm_k_28_lr_0.0005_bs_64.pkl,val,1.6474463808922355,0.6747949456883174,0.7234011336070978,0.6788965490535647,21
kuhar,wisdm_k_28_lr_0.0005_bs_64.pkl,test,0.27188596203708926,0.9439117929050815,0.9181747100610962,0.9441213965765884,21
wisdm,realworld_thigh_k_28_lr_0.0005_bs_64.pkl,train,0.26945894517884306,0.8881912853866687,0.8880276006095859,0.8880403288257762,7
wisdm,realworld_thigh_k_28_lr_0.0005_bs_64.pkl,val,0.4001434994903625,0.843369300382875,0.8434778247302006,0.8434696889504155,7
wisdm,realworld_thigh_k_28_lr_0.0005_bs_64.pkl,test,0.39538551623397117,0.8520672651409786,0.8517452879039171,0.8517592242487462,7
realworld,thigh_motionsense_k_28_lr_0.0005_bs_64.pkl,train,0.14488118002470635,0.9591857610474632,0.9586827156244296,0.9591723067762912,4
realworld,thigh_motionsense_k_28_lr_0.0005_bs_64.pkl,val,1.4750335753202513,0.682253255923427,0.6842609775123423,0.6817751753198682,4
realworld,thigh_motionsense_k_28_lr_0.0005_bs_64.pkl,test,1.2244904662223526,0.7006685108344859,0.7063643843507621,0.700111531987689,4
realworld,thigh_realworld_waist_k_28_lr_0.0005_bs_64.pkl,train,0.15514295226683464,0.9550600109110747,0.954367699405756,0.9550654037806673,2
realworld,thigh_realworld_waist_k_28_lr_0.0005_bs_64.pkl,val,1.5013325752095077,0.6618546995135729,0.6603359721921805,0.6612150258661192,2
realworld,thigh_realworld_waist_k_28_lr_0.0005_bs_64.pkl,test,1.2677787422254483,0.6326648224988474,0.6082612765820237,0.601250874074951,2
realworld,waist_motionsense_k_28_lr_0.0005_bs_64.pkl,train,0.11582143821010983,0.9636357631205206,0.9638843156887774,0.9637891984128334,18
realworld,waist_motionsense_k_28_lr_0.0005_bs_64.pkl,val,0.6788591743881758,0.815611748076017,0.8183124734868471,0.8177953522999046,18
realworld,waist_motionsense_k_28_lr_0.0005_bs_64.pkl,test,0.6206060149031548,0.8257668711656442,0.8171869024706186,0.8238381957518176,18
realworld,thigh_wisdm_k_28_lr_0.0005_bs_64.pkl,train,0.5421456282930952,0.8378682487725041,0.7186855452804982,0.8408087717917743,0
realworld,thigh_wisdm_k_28_lr_0.0005_bs_64.pkl,val,0.981314383237904,0.6922956221559705,0.6966282061217702,0.6949166572923307,0
realworld,thigh_wisdm_k_28_lr_0.0005_bs_64.pkl,test,0.7104478091235092,0.7645228215767634,0.7620429456539458,0.7613018648456784,0
uci,realworld_thigh_k_28_lr_0.0005_bs_64.pkl,train,0.04306524558960006,0.9841592791745386,0.9852037973745944,0.9841617814105594,72
uci,realworld_thigh_k_28_lr_0.0005_bs_64.pkl,val,0.15349173473186511,0.9636929460580913,0.9648671621697067,0.9636000923357451,72
uci,realworld_thigh_k_28_lr_0.0005_bs_64.pkl,test,0.13389608068544356,0.9595286885245902,0.9605119065146394,0.9594807165218955,72
realworld,thigh_realworld_thigh_k_28_lr_0.0005_bs_64.pkl,train,0.3970681413300884,0.8728177850518276,0.8752200209197986,0.874867272764716,1
realworld,thigh_realworld_thigh_k_28_lr_0.0005_bs_64.pkl,val,0.7611723084598382,0.7716930801820179,0.7733399786656641,0.7725768121944593,1
realworld,thigh_realworld_thigh_k_28_lr_0.0005_bs_64.pkl,test,0.6637560980503545,0.8038266482249885,0.8069369462509927,0.8044417949320433,1
wisdm,realworld_waist_k_28_lr_0.0005_bs_64.pkl,train,0.10772388756371534,0.9535696830707922,0.953558960657827,0.9535620442122789,17
wisdm,realworld_waist_k_28_lr_0.0005_bs_64.pkl,val,0.5399841816218689,0.8224852071005917,0.8219660335098332,0.8219713726022208,17
wisdm,realworld_waist_k_28_lr_0.0005_bs_64.pkl,test,0.640650290916234,0.8180553799468959,0.8183478671997768,0.8183658968890393,17
realworld,waist_wisdm_k_28_lr_0.0005_bs_64.pkl,train,0.08141745476165177,0.9731479340753707,0.9732995722244318,0.9732250660229219,19
realworld,waist_wisdm_k_28_lr_0.0005_bs_64.pkl,val,0.8579962150670163,0.7980210460185331,0.8005979912594481,0.7982893220841158,19
realworld,waist_wisdm_k_28_lr_0.0005_bs_64.pkl,test,0.9342959895419197,0.7715337423312884,0.7451486394401754,0.7622116583060699,19
wisdm,wisdm_k_28_lr_0.0005_bs_64.pkl,train,0.10159737643219573,0.9545471634271965,0.9545354248191537,0.9545388281898788,21
